Company,Domain,ICP Fit Score,Urgency Score,Engagement Score,Confidence Score,Activation Priority,Signal Type,Signal Date,Signal Summary
Xona Space Systems,xonaspace.com,66,16,0,45,40,manual,,
Umbra,umbra.space,60,16,0,45,37,manual,,
HawkEye 360,hawkeye360.ai,60,16,0,45,37,manual,,
Terran Orbital,terranorbital.com,60,16,0,45,37,manual,,
York Space Systems,yorkspacesystems.com,60,16,0,45,37,manual,,
AFRL Space Vehicles Directorate,afrl.af.mil,60,16,0,45,37,manual,,
MIT Lincoln Laboratory,ll.mit.edu,60,16,0,45,37,manual,,
Johns Hopkins APL,jhuapl.edu,60,16,0,45,37,manual,,
